coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_l,coco/bbox_mAP_m,coco/bbox_mAP_s,coco/class1_precision,coco/class2_precision,coco/class3_precision,coco/class4_precision,coco/segm_mAP,coco/segm_mAP_50,coco/segm_mAP_75,coco/segm_mAP_l,coco/segm_mAP_m,coco/segm_mAP_s,data_time,epoch,grad_norm,iter,loss,loss_rpn_bbox,loss_rpn_cls,lr,memory,s0.acc,s0.loss_bbox,s0.loss_cls,s0.loss_mask,s1.acc,s1.loss_bbox,s1.loss_cls,s1.loss_mask,s2.acc,s2.loss_bbox,s2.loss_cls,s2.loss_mask,step,time
,,,,,,,,,,,,,,,,0.2939595580101013,26,5.953909766674042,4628,1.082322958111763,0.02984964775387198,0.04451901911088498,1.8702355172993248e-05,9683,97.8515625,0.09793526157736779,0.11624211259186268,0.3027954138815403,97.2055892944336,0.10344342049211264,0.056762100709602234,0.15137969851493835,96.41434478759766,0.07332725911401212,0.032539904746226964,0.07352911792695523,4628,0.8600367903709412
0.378,0.676,0.544,0.3,0.493,0.409,0.411,0.399,0.478,0.515,0.379,0.676,0.536,0.429,0.524,0.345,0.703871488571167,,,,,,,,,,,,,,,,,,,,,26,1.09392149746418
,,,,,,,,,,,,,,,,0.4451747417449951,27,7.189749348163605,4806,1.0797538131475448,0.033222436485812065,0.0421445970093373,1.551681176860701e-05,9683,95.3125,0.09912971062585711,0.10845587952062488,0.2958859972655773,96.5811996459961,0.10928746536374093,0.055627543246373534,0.153286050632596,95.64270782470703,0.07573222671635449,0.03330761811230332,0.07367427665740252,4806,1.0355977773666383
0.368,0.67,0.529,0.2,0.441,0.519,0.389,0.394,0.481,0.502,0.371,0.67,0.522,0.4,0.502,0.341,0.689402773976326,,,,,,,,,,,,,,,,,,,,,27,1.0801034644246101
,,,,,,,,,,,,,,,,0.30819451808929443,28,6.690071773529053,4984,1.1649743974208833,0.03840087386779487,0.04751688120886684,1.2597548747170902e-05,7077,94.53125,0.11018007062375546,0.11515564825385809,0.33199664428830145,95.44554138183594,0.11549671813845634,0.056955221807584167,0.16712405048310758,95.25691223144531,0.07043902142904698,0.03354780677473172,0.07816147264093161,4984,0.8701173424720764
0.373,0.674,0.53,0.3,0.459,0.492,0.4,0.392,0.475,0.528,0.377,0.677,0.527,0.4,0.512,0.346,0.6946204826235771,,,,,,,,,,,,,,,,,,,,,28,1.0902757346630096
,,,,,,,,,,,,,,,,0.6913621544837951,29,5.367201507091522,5162,0.9764569655060769,0.030744811255135573,0.04476740159293513,9.966783462977227e-06,8881,92.7734375,0.0836963803973049,0.09471800387836993,0.28961875215172767,94.37751007080078,0.0869345584884286,0.04228664231486619,0.148537190631032,92.78556823730469,0.06027615682687611,0.023703041509725152,0.0711740566417575,5162,1.3470213174819947
0.368,0.672,0.52,0.2,0.45,0.402,0.405,0.386,0.468,0.523,0.374,0.672,0.517,0.4,0.51,0.334,0.6991665810346603,,,,,,,,,,,,,,,,,,,,,29,1.0916556492447853
,,,,,,,,,,,,,,,,0.37515405416488645,30,5.252261352539063,5340,0.8151837199926376,0.019331330730346964,0.03201327071865308,7.64453762833826e-06,6714,98.4375,0.06585882320068777,0.07121312478557229,0.24984532482922078,99.0234375,0.0696201631333679,0.034200623352080586,0.13022079057991504,98.97119140625,0.05860637474688701,0.01985449016210623,0.06441940516233444,5340,0.9343600511550904
0.368,0.674,0.51,0.2,0.474,0.344,0.398,0.355,0.466,0.519,0.367,0.675,0.487,0.4,0.514,0.313,0.6993467807769775,,,,,,,,,,,,,,,,,,,,,30,1.0950300320982933
,,,,,,,,,,,,,,,,0.5109261989593505,31,6.332626461982727,5518,0.9641067892313003,0.030652155040297658,0.041960517082588925,5.648484936265891e-06,9227,99.21875,0.08099823743104935,0.09904602011665702,0.27408421561121943,99.40827941894531,0.08922494696453213,0.04475651786196977,0.14204117618501186,98.99396514892578,0.06464828037060215,0.027255671081366017,0.06943903472274542,5518,1.1318879842758178
0.377,0.673,0.545,0.2,0.465,0.359,0.422,0.406,0.481,0.517,0.382,0.673,0.547,0.4,0.519,0.337,0.6961056739091873,,,,,,,,,,,,,,,,,,,,,31,1.089538112282753
,,,,,,,,,,,,,,,,0.5102375626564026,32,5.999622178077698,5696,1.0371096551418304,0.03327128814707976,0.060455863400966335,3.993816552996393e-06,8586,95.8984375,0.09537958288565278,0.08537487071007491,0.3065030172467232,95.51934814453125,0.09605363630689681,0.04043375090695918,0.1548060178756714,94.68302917480469,0.06545841438419302,0.024901929823681713,0.07447127904742956,5696,1.064804208278656
0.37,0.674,0.528,0.227,0.474,0.339,0.413,0.39,0.472,0.523,0.377,0.675,0.522,0.5,0.525,0.325,0.6920702159404755,,,,,,,,,,,,,,,,,,,,,32,1.0797519162297249
,,,,,,,,,,,,,,,,0.4053826451301575,33,6.416399049758911,5874,0.9864954575896263,0.032044506043894215,0.03277068748720922,2.6931255040425396e-06,9683,94.7265625,0.08795462967827916,0.09648165525868535,0.2919037688523531,93.30628967285156,0.0964665012434125,0.04403253523632884,0.14504464492201805,92.6229476928711,0.0639229854248697,0.025992705841781573,0.06988085806369781,5874,1.028996968269348
0.369,0.672,0.534,0.3,0.452,0.341,0.407,0.382,0.468,0.516,0.371,0.672,0.519,0.4,0.499,0.322,0.7188178524374962,,,,,,,,,,,,,,,,,,,,,33,1.1095980927348137
,,,,,,,,,,,,,,,,0.4157004117965698,34,5.868396282196045,6052,1.0229777947068215,0.034492473624413836,0.051926569705392465,1.7563108336655632e-06,7787,97.0703125,0.09097323722671717,0.08575867423787713,0.3191524393856525,99.77678680419922,0.08654660396277905,0.04240330888424069,0.1531918328255415,99.7652587890625,0.05821866797050461,0.025704616267466916,0.07460936941206456,6052,1.0073055148124694
0.37,0.672,0.528,0.2,0.454,0.341,0.412,0.387,0.466,0.521,0.374,0.675,0.521,0.4,0.52,0.322,0.6904805824160576,,,,,,,,,,,,,,,,,,,,,34,1.0870563089847565
,,,,,,,,,,,,,,,,0.19519848823547364,35,6.058670103549957,6230,0.9831546172499657,0.033596680837217716,0.027990520671664854,1.1905022671712315e-06,11240,97.0703125,0.09085175907239318,0.09814801337197424,0.2703921988606453,97.05882263183594,0.10385723290964961,0.04641059335554019,0.1402929902076721,97.13656616210938,0.07892269003205002,0.025915710514527745,0.06677623558789492,6230,0.7181956529617309
0.374,0.674,0.531,0.2,0.467,0.344,0.418,0.393,0.47,0.525,0.378,0.675,0.525,0.4,0.528,0.326,0.6954313367605209,,,,,,,,,,,,,,,,,,,,,35,1.0876349806785583
,,,,,,,,,,,,,,,,0.2200443148612976,36,6.832566940784455,6408,0.9954861909151077,0.029817786494095343,0.03141158017715497,1.0000059493951202e-06,9227,97.4609375,0.09013521233573556,0.10412745289504528,0.2723794706165791,98.0769271850586,0.10068923179060221,0.05297204821836203,0.14075356312096118,97.327392578125,0.07662539230659604,0.02850698812981136,0.06806746907532216,6408,0.770293927192688
0.378,0.673,0.54,0.227,0.472,0.347,0.422,0.395,0.474,0.526,0.381,0.675,0.535,0.5,0.523,0.328,0.6961920186877251,,,,,,,,,,,,,,,,,,,,,36,1.0867814272642136
